math;gender;ethnicity;bmi;siblings;income;momeduc;momwork;school;schoolissues;tvmfb;tvmfa;tvsat;tvsun;computer
113.3409;male;white;19.11;2;90000;some college;no work;catholic;1;0;1;3;3;1
107.5681;male;white;32.4;1;80000;some college;<35h;catholic;0;1;0;2;2;1
95.90085;male;white;19.58;2;27000;9-11 yrs;no work;public;1;1;1;8;2;1
103.2008;female;white;16.64;0;65000;college;>= 35h;catholic;0;0;1;2;3;1
112.7038;female;white;22.57;1;45000;college;>= 35h;public;0;3;3;3;1;1
96.00784;female;white;22.29;3;64000;12 yrs;>= 35h;public;0;2;0;3;4;1
113.9537;female;white;23.46;5;40000;12 yrs;<35h;public;1;1;2;6;6;1
111.77;female;white;23.01;3;35000;9-11 yrs;>= 35h;public;0;3;0;3;3;1
102.6901;male;white;17.26;2;200000;college;<35h;public;0;0;0;2;0;1
95.08866;male;white;27.34;0;10000;9-11 yrs;>= 35h;public;1;0;0;0;0;1
107.9085;male;white;19.43;2;20000;12 yrs;>= 35h;public;1;1;0;4;4;0
105.1169;female;white;17.36;1;100000;college;<35h;public;1;1;0;2;2;1
103.906;female;white;16.74;4;45000;12 yrs;no work;public;1;0;1;2;2;1
105.9145;male;white;17.19;3;100000;college;no work;catholic;0;0;1;0;1;1
104.3145;male;white;29.56;0;58000;12 yrs;>= 35h;public;1;1;1;4;4;1
94.58287;female;white;24.46;1;70000;some college;>= 35h;public;0;1;2;4;4;1
98.20609;female;white;16.66;1;50000;12 yrs;>= 35h;public;0;0;0;0;0;1
113.1415;female;white;18.83;2;115000;college;<35h;public;1;0;1;1;1;1
91.34872;male;white;18.5;2;42000;some college;>= 35h;public;0;2;1;4;4;1
99.71859;female;white;17.28;4;130000;some college;no work;catholic;0;0;1;0;1;1
111.6776;male;white;17.62;2;120000;12 yrs;<35h;public;0;0;1;2;1;1
96.51363;male;white;18.67;3;47000;some college;no work;other private;0;1;2;2;2;1
111.167;male;white;22.39;1;140000;college;>= 35h;public;1;0;1;2;3;1
107.1061;male;white;19.76;1;90000;college;no work;public;0;0;1;2;3;1
101.8536;female;white;21.8;1;50000;12 yrs;>= 35h;other private;1;1;2;5;5;1
101.8877;male;white;26.32;1;35000;12 yrs;>= 35h;public;0;0;1;1;1;1
106.2793;male;white;25.13;2;28000;12 yrs;>= 35h;public;1;1;1;2;2;1
79.14165;female;white;23.95;3;15000;some college;<35h;public;1;0;1;2;2;1
102.5345;female;white;18.65;1;24000;12 yrs;>= 35h;other private;0;1;1;3;0;1
91.53354;female;white;15.37;1;100000;some college;>= 35h;catholic;0;4;3;3;3;1
104.7327;female;white;20.58;3;45000;college;>= 35h;other private;0;1;2;3;3;1
102.6998;male;white;23.99;2;280000;some college;no work;catholic;0;0;1;3;3;1
92.76397;male;white;18.38;4;110000;college;<35h;public;0;0;3;3;3;1
104.368;female;white;16.51;2;65000;college;>= 35h;catholic;1;0;1;2;2;1
112.519;female;white;18.53;2;55000;college;no work;other private;0;0;0;2;2;1
113.3798;male;white;21.95;1;100000;some college;>= 35h;public;1;0;1;0;0;1
87.44344;female;white;22.13;1;30000;9-11 yrs;<35h;public;0;1;0;1;1;1
99.2663;male;white;19.43;1;75000;some college;>= 35h;public;1;1;1;1;2;1
112.7816;male;white;16.55;7;200000;college;no work;catholic;1;0;0;2;0;1
103.8865;male;white;19.6;2;100000;some college;>= 35h;public;0;1;0;2;1;1
94.95248;male;white;16.51;2;36500;12 yrs;>= 35h;public;0;0;3;6;6;1
97.07292;female;white;16.97;2;21000;some college;>= 35h;public;1;1;2;6;3;1
111.7749;female;white;16.56;1;65000;some college;no work;catholic;1;0;0;1;1;1
95.87167;female;white;22.21;1;53000;college;>= 35h;other private;0;1;2;3;3;1
107.4903;male;white;17.1;3;50000;college;<35h;catholic;0;1;1;2;2;1
100.0785;female;white;17.55;2;75000;college;>= 35h;catholic;1;2;0;4;4;1
93.69287;male;white;17.21;1;45000;some college;>= 35h;public;0;0;2;4;2;1
113.7251;male;white;22.09;2;140000;college;>= 35h;public;0;0;1;3;3;1
96.92702;female;white;16.27;1;75000;some college;>= 35h;public;1;1;0;2;2;1
104.7327;male;white;16.72;3;25000;some college;no work;public;0;0;2;4;4;1
105.9389;female;white;16.08;1;62000;some college;>= 35h;public;0;0;1;4;4;1
99.16903;female;white;16.88;1;54000;12 yrs;<35h;public;0;1;1;2;2;1
102.2232;male;white;20.45;1;100000;college;no work;catholic;1;1;0;2;2;1
101.5813;female;white;16.81;1;22000;some college;>= 35h;other private;0;0;0;2;2;1
89.68546;female;white;27.98;0;20000;some college;>= 35h;public;0;0;1;2;3;1
108.3657;female;white;18.95;1;49000;12 yrs;<35h;public;1;0;1;2;4;1
107.962;female;white;23.41;1;60000;some college;>= 35h;public;1;0;1;1;1;1
101.3721;male;white;17.19;1;115000;some college;no work;public;0;0;1;2;2;1
86.41727;female;white;16.84;0;35000;12 yrs;>= 35h;public;1;0;1;1;1;1
97.31609;female;white;27.41;1;45000;some college;<35h;catholic;0;2;0;6;6;1
105.0586;female;white;26.53;1;40000;some college;no work;public;0;0;1;2;2;1
109.0903;female;white;19.17;1;180000;college;<35h;public;0;1;1;2;2;1
115.4078;female;white;16.99;0;140000;college;>= 35h;public;0;1;0;1;1;1
105.2385;female;white;15.22;1;125000;college;<35h;public;0;0;1;2;2;1
111.9305;female;white;19.44;2;50000;college;<35h;other private;0;0;0;1;0;1
95.33669;male;white;22.2;0;21000;some college;<35h;other private;0;0;1;4;4;1
97.0486;female;white;17.07;3;40000;college;>= 35h;other private;1;0;1;1;1;1
104.8981;female;white;21.8;1;110000;college;>= 35h;catholic;1;0;1;2;2;1
76.9045;male;white;18.45;1;23000;9-11 yrs;>= 35h;public;1;0;2;4;0;0
103.9595;male;white;19.39;1;140000;some college;>= 35h;catholic;1;1;2;5;5;1
100.0396;female;white;29.2;0;80000;12 yrs;<35h;public;1;2;1;2;2;1
77.18658;female;white;29.28;6;9000;9-11 yrs;>= 35h;public;1;1;2;4;4;1
99.33439;male;white;17;3;90000;college;<35h;catholic;1;1;1;2;2;1
105.7249;male;white;16.95;1;70000;some college;>= 35h;catholic;0;1;2;2;2;1
99.3587;male;white;23.83;1;22000;some college;>= 35h;catholic;0;0;1;3;3;0
98.20122;male;white;17.81;1;70000;some college;>= 35h;public;0;1;1;1;1;1
110.0192;female;white;18.75;2;50000;college;>= 35h;catholic;0;0;3;6;6;1
114.0996;female;white;22.84;1;42090;college;>= 35h;public;0;0;0;4;2;1
105.1704;female;white;15.02;2;23000;some college;>= 35h;public;1;1;3;8;8;1
92.44299;male;white;16.36;1;65000;some college;no work;catholic;1;1;1;3;2;1
104.9759;female;white;20.03;1;100000;college;no work;public;1;1;2;2;2;1
95.39019;male;white;18.49;1;100000;college;>= 35h;public;0;1;2;2;2;1
107.5778;male;white;24.46;0;35000;some college;>= 35h;public;1;1;2;5;3;1
109.922;male;white;23.24;1;70000;some college;>= 35h;public;1;2;1;5;5;1
104.9954;male;white;16.73;2;72000;12 yrs;no work;public;0;2;1;5;3;1
109.6885;male;white;16.59;2;65000;12 yrs;<35h;public;1;1;1;3;3;1
93.119;male;white;16.49;1;70000;some college;>= 35h;public;0;0;1;2;1;1
110.0046;female;white;18.36;2;65000;some college;no work;other private;0;1;0;3;0;1
102.4372;female;white;18;1;30000;12 yrs;>= 35h;public;0;0;2;6;6;1
100.6864;male;white;15.96;1;50000;some college;>= 35h;catholic;1;0;2;4;4;0
105.9145;female;white;22.46;1;60000;some college;>= 35h;public;0;1;1;5;2;0
104.3145;male;white;26.72;0;100000;some college;>= 35h;public;0;1;2;5;5;1
104.7036;female;white;15.09;2;70000;college;>= 35h;catholic;0;2;0;2;2;1
109.8539;male;white;17.82;3;28000;12 yrs;<35h;public;1;1;1;6;4;0
77.95986;male;white;32.15;1;30000;9-11 yrs;>= 35h;public;0;1;1;0;4;1
113.7689;male;white;19.22;1;70000;college;>= 35h;public;1;1;1;3;4;1
73.30561;male;white;26.6;1;100000;college;<35h;public;0;1;2;4;4;1
104.5576;female;white;16.66;2;50000;some college;no work;public;1;0;0;2;2;1
89.26234;female;white;21.68;1;50000;12 yrs;>= 35h;catholic;0;0;0;3;3;1
95.15189;female;white;26.7;2;30000;12 yrs;<35h;public;1;0;1;1;1;1
110.0581;male;white;17.95;1;22000;12 yrs;>= 35h;public;0;3;3;4;2;1
105.4087;female;white;15.67;1;150000;some college;no work;public;0;1;0;1;1;1
109.0806;female;white;18.99;1;275000;college;>= 35h;public;0;0;1;4;4;1
105.8562;male;white;18.18;1;75000;some college;<35h;public;1;0;0;0;0;1
104.616;male;white;16.16;1;70000;some college;>= 35h;public;1;0;1;4;4;1
92.75424;female;white;22.25;1;20591;12 yrs;>= 35h;public;0;1;2;2;4;1
103.799;male;white;17.35;1;90000;some college;no work;public;0;1;1;1;2;1
109.4794;male;white;15.98;1;65000;some college;<35h;public;1;0;0;3;3;1
96.44068;male;white;23.43;2;50000;12 yrs;<35h;catholic;0;2;2;4;4;1
111.1864;female;white;15.49;0;100000;college;>= 35h;other private;0;0;1;2;0;1
108.3025;female;white;22.73;2;70000;some college;>= 35h;other private;0;0;0;2;2;1
111.95;male;white;15.86;1;120000;college;>= 35h;public;1;0;0;1;0;1
102.2913;male;white;26.54;2;59000;12 yrs;<35h;public;0;2;3;4;5;1
102.9236;female;white;16.28;2;70000;college;>= 35h;other private;0;1;1;2;1;1
98.95504;female;white;23.79;1;45000;12 yrs;no work;catholic;0;1;1;1;3;1
113.8272;male;white;15.8;2;55000;12 yrs;>= 35h;public;0;0;1;1;1;1
97.87537;female;white;15.95;1;15000;12 yrs;no work;public;1;2;1;5;5;1
108.0593;female;white;21.61;1;117000;12 yrs;>= 35h;public;1;2;0;1;1;1
114.5227;male;white;27.47;3;92000;some college;no work;public;0;0;0;0;1;1
91.85452;female;white;21.37;1;55000;some college;>= 35h;public;1;0;1;1;1;1
97.81215;male;white;22.53;1;85000;college;>= 35h;public;1;0;0;2;2;1
110.6709;male;white;16.04;1;57000;college;>= 35h;public;1;0;2;3;3;1
111.1718;male;white;15.72;2;100000;college;<35h;public;1;0;0;1;1;1
114.4935;male;white;20.38;0;57000;12 yrs;<35h;public;1;1;3;4;0;1
103.7892;female;white;19.64;2;45000;some college;<35h;public;1;0;2;4;4;1
102.408;male;white;24.82;2;30000;12 yrs;no work;public;0;2;1;0;2;1
110.6028;female;white;17.11;0;34000;some college;>= 35h;public;0;1;1;2;2;1
113.55;female;white;18.39;1;34000;12 yrs;no work;public;1;1;0;0;0;1
